item_id,date,p10,p50,p90
1,2018-01-01T00:00:00Z,-1904.677008865669,520.3542134674149,3325.970896233167
1,2018-01-01T01:00:00Z,-2791.4132722951026,-240.03116894228936,2657.9449490876714
1,2018-01-01T02:00:00Z,-3275.816401884134,-366.8247849445024,3061.42021486197
1,2018-01-01T03:00:00Z,-3596.5748368401796,-419.7806558733472,2613.613047191485
1,2018-01-01T04:00:00Z,-2465.0571269333177,837.1414573967513,3582.494139145081
1,2018-01-01T05:00:00Z,-570.2443984960614,2552.2024253000145,5234.036547750067
1,2018-01-01T06:00:00Z,548.2085694206303,3379.590238708473,6246.447454688749
1,2018-01-01T07:00:00Z,2195.807829241864,5073.171881990777,8452.689792968922
1,2018-01-01T08:00:00Z,2477.3741224597543,5617.4039161955225,8351.215673859402
1,2018-01-01T09:00:00Z,2323.6466227180367,5099.2711578491635,8116.169657949682
1,2018-01-01T10:00:00Z,2061.2071438421062,5402.996423204613,8788.299391641376
1,2018-01-01T11:00:00Z,1648.006130143348,4735.535808556329,7166.735639250381
1,2018-01-01T12:00:00Z,2167.805982594885,5056.194016876291,8198.946978845184
1,2018-01-01T13:00:00Z,2072.031829094654,5498.09388747026,7964.3574000552635
1,2018-01-01T14:00:00Z,2886.014828405839,5569.504101403526,9014.818784853655
1,2018-01-01T15:00:00Z,3671.304879960423,6384.519249097732,9499.606261340952
1,2018-01-01T16:00:00Z,3026.7397800550148,6529.423375215491,9235.029566895959
1,2018-01-01T17:00:00Z,3272.0952682274205,6358.5295156526,9120.280823307297
1,2018-01-01T18:00:00Z,2202.176367257468,4833.860976895136,7582.448485357141
1,2018-01-01T19:00:00Z,1258.7977634642439,4208.958756381203,6783.175692395792
1,2018-01-01T20:00:00Z,467.04660347706067,2875.225768141605,5353.90679161231
1,2018-01-01T21:00:00Z,37.30623659409639,2915.3238448838074,5365.421440025062
1,2018-01-01T22:00:00Z,-744.7840327118961,2541.2051111251026,5650.1134750194415
1,2018-01-01T23:00:00Z,-312.0756687279811,2341.2601903878885,4948.170602705098
